Rating,Name,Symbol,Rating Agency Name,Date,Sector,currentRatio,quickRatio,cashRatio,daysOfSalesOutstanding,netProfitMargin,pretaxProfitMargin,grossProfitMargin,operatingProfitMargin,returnOnAssets,returnOnCapitalEmployed,returnOnEquity,assetTurnover,fixedAssetTurnover,debtEquityRatio,debtRatio,effectiveTaxRate,freeCashFlowOperatingCashFlowRatio,freeCashFlowPerShare,cashPerShare,companyEquityMultiplier,ebitPerRevenue,enterpriseValueMultiple,operatingCashFlowPerShare,operatingCashFlowSalesRatio,payablesTurnover,Month,Year
A,Whirlpool Corporation,WHR,Egan-Jones Ratings Company,2015-11-27,Consumer Durables,0.945893595,0.426394628,0.099690083,44.20324542,0.037480255,0.049351395,0.176631085,0.061509741,0.041188848,0.091514291,0.165085389,1.098947922,5.535506094,3.008011807,0.750499737,0.20271581,0.43755102,6.810673443,9.809402795,4.008011807,0.049351395,7.05708807,15.56543837,0.058637691,3.906654554,11,2015
BBB,Whirlpool Corporation,WHR,Fitch Ratings,2015-03-06,Consumer Durables,0.963703439,0.451505415,0.12209925,50.84138486,0.03270934,0.044333736,0.170843398,0.059782609,0.03249675,0.075954824,0.133060389,0.99350065,4.991710625,3.09457523,0.755774423,0.214528944,0.513184584,9.69348659,13.10344828,4.09457523,0.044333736,10.49197025,18.88888889,0.074426329,3.483509514,3,2015
BBB,Whirlpool Corporation,WHR,Standard & Poor's Ratings Services,2016-10-24,Consumer Durables,0.957843905,0.495432002,0.141607935,47.76112559,0.04286128,0.053769669,0.177719857,0.065353799,0.046363494,0.096945436,0.186046512,1.081710437,5.437795276,3.012780222,0.75079622,0.166965889,0.451371571,7.135348226,14.25755585,4.012780222,0.053769669,8.293504729,15.80814717,0.05806545,3.857789855,10,2016
A,Schlumberger N.V.,SLB,Egan-Jones Ratings Company,2015-07-23,Energy,1.905814036,1.544791445,0.197790525,90.33685694,0.058407329,0.081212121,0.201663143,0.081212121,0.030468348,0.053466706,0.058148346,0.52165282,2.644427879,0.908483709,0.476023822,0.258937869,0.72629188,5.047355959,10.28729282,1.908483709,0.081212121,15.26456244,6.949486977,0.24820296,3.665199948,7,2015
A,Honeywell International Inc.,HON,Moody's Investors Service,2016-02-16,Capital Goods,1.091557346,0.850960753,0.296935387,76.39446878,0.123584148,0.170705788,0.306731293,0.170705788,0.096682618,0.212829213,0.260788711,0.782322167,6.664536189,1.697369141,0.629268392,0.264044944,0.80326366,5.618107207,9.692228777,2.697369141,0.170705788,10.36290293,6.994101052,0.141364921,4.793369176,2,2016
AA,Honeywell International Inc.,HON,Egan-Jones Ratings Company,2015-04-21,Capital Goods,1.502132268,1.155080214,0.471062073,72.08356076,0.105170446,0.144345755,0.281570982,0.144345755,0.093265275,0.189647304,0.240074758,0.88680117,7.487646294,1.574106587,0.611515698,0.255929873,0.782245223,5.010198878,11.6063233,2.574106587,0.144345755,10.84723821,6.404895461,0.124646455,5.397390494,4,2015
A,Sysco Corporation,SYY,Egan-Jones Ratings Company,2015-06-01,Consumer Non-Durables,1.529885086,0.872729375,0.094569824,26.66848519,0.020025771,0.031722448,0.175873028,0.034119393,0.070742447,0.167678448,0.176872403,3.532570522,11.67114159,1.50023022,0.600036832,0.368719267,0.649517187,1.654656513,0.704870988,2.50023022,0.031722448,11.07454219,2.547517673,0.032092015,13.54125674,6,2015
BBB,Sysco Corporation,SYY,Egan-Jones Ratings Company,2015-11-03,Consumer Non-Durables,1.222848383,0.902528987,0.545771715,25.14308047,0.014107691,0.020709356,0.17566524,0.025253554,0.03817679,0.117367427,0.130559649,2.706097703,12.2247624,2.419869762,0.707591204,0.318776924,0.651021804,1.710355283,8.66455656,3.419869762,0.020709356,12.87360905,2.627185867,0.031952752,13.92432007,11,2015
A,Philip Morris International Inc,PM,Standard & Poor's Ratings Services,2016-03-21,Consumer Non-Durables,1.027167555,0.434355908,0.222085012,13.71935379,0.092993993,0.130094171,0.235820209,0.143732749,0.202409,0.517770598,-0.518951978,2.176581458,12.9187205,-3.563877982,1.390034162,0.279563183,0.877940242,4.457714655,2.520981278,-2.563877982,0.130094171,14.38546981,5.077469335,0.106416085,7.265321955,3,2016
BBB,AT&T Inc.,T,Standard & Poor's Ratings Services,2016-10-24,Public Utilities,0.758640462,0.479595065,0.114441632,37.42572625,0.076947969,0.12096272,0.885478612,0.148651289,0.031209372,0.05608572,0.101547015,0.405590596,1.311347569,2.25373459,0.692660857,0.327024026,0.453131354,2.890402075,1.209792477,3.25373459,0.12096272,7.484375822,6.378728923,0.240215891,0.60238294,10,2016
